,Title,location,Posting_date,job_link
0,Software Development Manager,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630171/software-development-manager
1,Software Development Engineer,"IN, KA, Bangalore ","March  1, 2018",https://www.amazon.jobs/en/jobs/630154/software-development-engineer
2,Software Development Engineer,"IN, KA, Bangalore ","March  1, 2018",https://www.amazon.jobs/en/jobs/630153/software-development-engineer
3,Software Development Engineer - Amazon Lex,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630135/software-development-engineer-amazon-lex
4,Software Development Engineer - Amazon Lex,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630134/software-development-engineer-amazon-lex
5,Software Development Engineer - Amazon Lex,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630133/software-development-engineer-amazon-lex
6,Quality Assurance Engineer,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630105/quality-assurance-engineer
7,Software Development Engineer ,"US, CA, Cupertino ","March  1, 2018",https://www.amazon.jobs/en/jobs/630066/software-development-engineer
8,Software Development Engineer ,"US, CA, Cupertino ","March  1, 2018",https://www.amazon.jobs/en/jobs/630065/software-development-engineer
9, Software Development Manager - Amazon Cloud Cam,"US, CA, Cupertino ","March  1, 2018",https://www.amazon.jobs/en/jobs/630042/software-development-manager-amazon-cloud-cam
10,Software Development Engineer – Alexa Machine Learning Platform,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/630023/software-development-engineer-alexa-machine-learning-platform
11,Manager of Application Development and Engineering,"US, WA, Seattle ","March  1, 2018",https://www.amazon.jobs/en/jobs/629926/manager-of-application-development-and-engineering
12,Programmer Analyst,"RO, Iaşi ","March  1, 2018",https://www.amazon.jobs/en/jobs/629864/programmer-analyst
13, Senior Applied Robotics Scientist,"US, CA, East Palo Alto ","February 28, 2018",https://www.amazon.jobs/en/jobs/629829/senior-applied-robotics-scientist
14,DevOps Engineer,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629764/devops-engineer
15,UI Developer ,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629737/ui-developer
16,"Sr. Software Development Engineer, AWS Lex","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629677/sr-software-development-engineer-aws-lex
17,SDE,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629676/sde
18,"Software Engineer- Mobile Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629635/software-engineer-mobile-analytics-aws-pinpoint
19,"Software Engineer- Big Data Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629633/software-engineer-big-data-analytics-aws-pinpoint
20,"Software Engineer- Big Data Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629632/software-engineer-big-data-analytics-aws-pinpoint
21,"Software Engineer- Big Data Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629631/software-engineer-big-data-analytics-aws-pinpoint
22,"Software Engineer, Big Data and Analytics","US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629626/software-engineer-big-data-and-analytics
23,Software Development Engineer - Amazon Prime Video,"US, CA, Santa Monica ","February 28, 2018",https://www.amazon.jobs/en/jobs/629605/software-development-engineer-amazon-prime-video
24,Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018",https://www.amazon.jobs/en/jobs/629603/software-development-engineer-amazon-video
25,Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018",https://www.amazon.jobs/en/jobs/629602/software-development-engineer-amazon-video
26,Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018",https://www.amazon.jobs/en/jobs/629601/software-development-engineer-amazon-video
27,Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018",https://www.amazon.jobs/en/jobs/629600/software-development-engineer-amazon-video
28,Software Development Manager,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629598/software-development-manager
29,Software Development Engineer - AWS EBS Performance Team,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629595/software-development-engineer-aws-ebs-performance-team
30,Software Development Engineer,"IN, KA, Bangalore ","February 28, 2018",https://www.amazon.jobs/en/jobs/629587/software-development-engineer
31,Software Development Engineer,"IN, KA, Bangalore ","February 28, 2018",https://www.amazon.jobs/en/jobs/629586/software-development-engineer
32,Sr. Data Engineer,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629554/sr-data-engineer
33,Software Development Engineer II - REQ576,"US, CA, Sunnyvale ","February 28, 2018",https://www.amazon.jobs/en/jobs/629530/software-development-engineer-ii-req576
34,Software Development Engineer II - REQ575,"US, CA, Sunnyvale ","February 28, 2018",https://www.amazon.jobs/en/jobs/629529/software-development-engineer-ii-req575
35,Software Development Engineer II - AMZ2560,"US, CA, Palo Alto ","February 28, 2018",https://www.amazon.jobs/en/jobs/629516/software-development-engineer-ii-amz2560
36,Software Development Engineer II - AMZ1987,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629495/software-development-engineer-ii-amz1987
37,Software Development Engineer II - AMZ1986,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629470/software-development-engineer-ii-amz1986
38,Programmer Analyst II - AMZ1984,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629422/programmer-analyst-ii-amz1984
39,Rendering Engineer,"US, CA, Palo Alto ","February 28, 2018",https://www.amazon.jobs/en/jobs/629415/rendering-engineer
40,Software Development Manager,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629414/software-development-manager
41,Senior Systems Quality Assurance Engineer ,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629375/senior-systems-quality-assurance-engineer
42,Software Development Engineer - API Gateway,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629370/software-development-engineer-api-gateway
43,Software Development Manager - AMZ1978,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629351/software-development-manager-amz1978
44,Software Development Engineer III - AMZ1977,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629341/software-development-engineer-iii-amz1977
45,Software Development Engineer in Test II - AMZ1976,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629331/software-development-engineer-in-test-ii-amz1976
46,Software Development Engineer in Test II - AMZ1975,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629311/software-development-engineer-in-test-ii-amz1975
47,Software Development Engineer II - AMZ1974,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629304/software-development-engineer-ii-amz1974
48,Software Development Engineer II - AMZ1973,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629301/software-development-engineer-ii-amz1973
49,Software Development Engineer II - AMZ1972,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629273/software-development-engineer-ii-amz1972
50,Software Development Engineer - AMZ1971,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629272/software-development-engineer-amz1971
51,Software Development Engineer - AMZ1970,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629271/software-development-engineer-amz1970
52,Software Development Engineer – Prime Air,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629243/software-development-engineer-prime-air
53,Web Development Engineer - Alexa Data Services,"US, MA, Boston ","February 28, 2018",https://www.amazon.jobs/en/jobs/629207/web-development-engineer-alexa-data-services
54,Software Development Engineer - Prime Air ,"US, WA, Seattle ","February 28, 2018",https://www.amazon.jobs/en/jobs/629134/software-development-engineer-prime-air
